second,sent,ok,duplicate,limited,other,avg_ms,max_ms
0,915,915,0,0,0,73.605,298.732
1,925,925,0,0,0,2.969,18.189
2,891,891,0,0,0,2.587,9.009
3,870,870,0,0,0,2.406,5.683
4,847,847,0,0,0,1.678,3.813
5,826,826,0,0,0,1.644,3.413
6,810,810,0,0,0,1.816,3.399
7,789,789,0,0,0,1.777,3.802
8,770,770,0,0,0,1.652,3.498
9,752,752,0,0,0,1.918,5.512
10,735,735,0,0,0,1.674,5.040
11,715,715,0,0,0,1.807,3.535
12,700,700,0,0,0,1.956,4.036
13,683,683,0,0,0,1.884,4.010
14,666,666,0,0,0,1.907,4.075
15,652,652,0,0,0,2.130,10.888
16,635,635,0,0,0,1.710,3.503
17,620,620,0,0,0,1.743,3.564
18,606,606,0,0,0,1.773,4.381
19,590,590,0,0,0,1.983,4.385
20,578,578,0,0,0,2.262,3.981
21,563,563,0,0,0,1.937,5.149
22,550,550,0,0,0,1.999,5.007
23,537,537,0,0,0,2.224,5.002
24,524,524,0,0,0,2.468,9.153
25,512,512,0,0,0,2.318,4.159
26,499,499,0,0,0,2.217,4.127
27,487,487,0,0,0,1.883,5.270
28,477,477,0,0,0,2.181,5.315
29,464,464,0,0,0,2.163,3.875
30,453,453,0,0,0,2.266,4.233
31,444,444,0,0,0,2.338,4.879
32,432,432,0,0,0,2.018,4.878
33,422,422,0,0,0,1.872,3.193
34,412,412,0,0,0,1.892,3.696
35,402,402,0,0,0,2.219,3.609
36,393,393,0,0,0,2.250,4.634
37,383,383,0,0,0,2.354,4.191
38,375,375,0,0,0,2.290,5.079
39,365,365,0,0,0,2.218,3.530
40,357,357,0,0,0,2.371,4.635
41,348,348,0,0,0,2.227,3.833
42,340,340,0,0,0,2.367,3.912
43,332,332,0,0,0,2.232,3.229
44,323,323,0,0,0,2.291,3.767
45,317,317,0,0,0,2.279,5.335
46,308,308,0,0,0,2.444,3.975
47,302,302,0,0,0,2.417,4.381
48,294,294,0,0,0,2.354,5.291
49,287,287,0,0,0,2.030,3.611
50,281,281,0,0,0,2.067,3.430
51,273,273,0,0,0,2.321,4.668
52,267,267,0,0,0,2.276,4.057
53,261,261,0,0,0,2.395,3.958
54,255,255,0,0,0,2.425,3.962
55,249,249,0,0,0,2.260,4.486
56,242,242,0,0,0,2.200,3.583
57,237,237,0,0,0,2.286,3.244
58,231,231,0,0,0,2.232,3.606
59,226,226,0,0,0,2.404,3.424
60,1,1,0,0,0,2.481,2.481
